ABN,Charity_Legal_Name,State,Postcode,Charity_Size,Operates_in_VIC,PBI,Preventing_or_relieving_suffering_of_animals,Advancing_Culture,Advancing_Education,Advancing_Health,Promote_or_oppose_a_change_to_law__government_poll_or_prac,Advancing_natual_environment,Promoting_or_protecting_human_rights,Purposes_beneficial_to_ther_general_public_and_other_analogous,Promoting_reconciliation__mutual_respect_and_tolerance,Advancing_Religion,Advancing_social_or_public_welfare,Advancing_security_or_safety_of_Australia_or_Australian_public,Aboriginal_or_TSI,Adults,Aged_Persons,Children,Communities_Overseas,Early_Childhood,Ethnic_Groups,Families,Females,Financially_Disadvantaged,Gay_Lesbian_Bisexual,General_Community_in_Australia,Males,Migrants_Refugees_or_Asylum_Seekers,Other_Beneficiaries,Other_Charities,People_at_risk_of_homelessness,People_with_Chronic_Illness,People_with_Disabilities,Pre_Post_Release_Offenders,Rural_Regional_Remote_Communities,Unemployed_Person,Veterans_or_their_families,Victims_of_crime,Victims_of_Disasters,Youth
11328366859,The Gwen & Edna Jones Foundation,VIC,3280,Large,Y,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,,,,,,,,
11338057025,The Trustee For Edwards Foundation,VIC,3141,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11339370677,Uca - Winchelsea,VIC,3241,Small,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
11342844238,Harrietville Television Committee Inc,VIC,3741,Small,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,
11365315258,Community Information & Support Victoria Inc,VIC,3000,Large,Y,Y,,,,,Y,,,Y,,,Y,,,Y,Y,,,,,Y,,Y,,,,,,,,,,,,,,,,Y
11370292497,Oakleigh Church of Christ,VIC,3166,Small,Y,,,,,,,,,,,Y,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,
11389597881,South Melbourne Life Saving Club Inc,VIC,3206,Small,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,,,,,,,Y,
11390131121,Mustard Leadership Australia Inc,VIC,3101,Small,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
11391301149,Greek Orthooox Archdiocese Ofaustralia Parish Of Coburg And Pascoevale,VIC,3058,Medium,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
11403509906,St Marys Catholic Church,VIC,3796,Small,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
11404462191,Hope Christian Church Melbourne Inc,VIC,3168,Medium,Y,,,,,,,,,,,Y,,,,Y,Y,Y,,,,Y,Y,,,,Y,,,,,,,,,,,,,Y
11411225987,Montmorency Community Church,VIC,3094,Small,Y,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,
11453217641,MENTONE RSL SUB-BRANCH PATRIOTIC FUND,VIC,3000,Small,Y,,,,,Y,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,
11460996012,Bendigo Diocesan Trusts Corporation,VIC,3552,Small,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
11472625252,Simonds Catholic College West Melbourne,VIC,3003,Large,Y,,,,Y,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,,Y
11477560139,The Every Life Matters (ELM) Network,VIC,3450,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11478617475,St Finbar's Catholic Church Brighton East,VIC,3187,Small,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
11483474386,Farm Road Pre School Inc,VIC,3192,Medium,Y,,,,Y,,,,,,,,,,,,,,,Y,,Y,,,,Y,,,,,,,,,,,,,,
11495524157,Hardware Foundation,VIC,3103,Small,Y,Y,,,Y,,,,,,,,Y,,,Y,,Y,,,,Y,Y,Y,,,Y,,,,Y,,Y,,,Y,,,,Y
11507709511,Northern District Community Health,VIC,3579,Large,Y,,,Y,,Y,,,,,Y,,Y,,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
11512629602,Broadford Presbyterian Church,VIC,3658,Small,Y,,,,,,,,,,,Y,,,,Y,Y,Y,,Y,,Y,Y,,,,Y,,,,,,,,,,,,,Y
11518339303,Australia Vietnam Friendship Society Inc,VIC,3004,Small,Y,,,,,,,,,,,,,,,,,,Y,,,Y,,Y,,,,,,,Y,,,,,,,,Y,Y
11526445815,Camberwell Baptist Church Kindergarten,VIC,3123,Small,Y,,,,Y,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,
11538175792,Uca - Hutchinson Close,VIC,3055,Small,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11538514248,Iglesia De La Profecia Nueva Rosa De Saron Inc,VIC,3020,Small,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
11541096517,Sacred Heart Primary School Oakleigh,VIC,3166,Large,Y,,,,Y,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,,
